time,zlev,latitude,longitude,sst,anom
UTC,m,degrees_north,degrees_east,degree_C,degree_C
2022-08-22T12:00:00Z,0.0,52.875,-129.875,13.89,0.26
2022-08-22T12:00:00Z,0.0,52.875,-129.625,14.07,0.47
2022-08-22T12:00:00Z,0.0,52.875,-129.375,14.25,0.68
2022-08-22T12:00:00Z,0.0,52.875,-129.125,NaN,NaN
2022-08-22T12:00:00Z,0.0,53.125,-132.875,15.56,1.82
2022-08-22T12:00:00Z,0.0,53.125,-132.625,15.74,2.02
2022-08-22T12:00:00Z,0.0,53.125,-132.375,NaN,NaN
2022-08-22T12:00:00Z,0.0,53.125,-132.125,NaN,NaN
2022-08-22T12:00:00Z,0.0,53.125,-131.875,NaN,NaN
2022-08-22T12:00:00Z,0.0,53.125,-131.625,16.88,3.19
2022-08-22T12:00:00Z,0.0,53.125,-131.375,16.32,2.65
2022-08-22T12:00:00Z,0.0,53.125,-131.125,15.67,2.01
2022-08-22T12:00:00Z,0.0,53.125,-130.875,14.89,1.26
2022-08-22T12:00:00Z,0.0,53.125,-130.625,14.13,0.52
2022-08-22T12:00:00Z,0.0,53.125,-130.375,13.46,-0.13
2022-08-22T12:00:00Z,0.0,53.125,-130.125,13.17,-0.4
2022-08-22T12:00:00Z,0.0,53.125,-129.875,13.48,-0.08
2022-08-22T12:00:00Z,0.0,53.125,-129.625,13.81,0.26
2022-08-22T12:00:00Z,0.0,53.125,-129.375,14.15,0.63
2022-08-22T12:00:00Z,0.0,53.125,-129.125,NaN,NaN
2022-08-22T12:00:00Z,0.0,53.375,-132.875,15.35,1.73
2022-08-22T12:00:00Z,0.0,53.375,-132.625,NaN,NaN
2022-08-22T12:00:00Z,0.0,53.375,-132.375,NaN,NaN
2022-08-22T12:00:00Z,0.0,53.375,-132.125,NaN,NaN
2022-08-22T12:00:00Z,0.0,53.375,-131.875,17.69,4.12
2022-08-22T12:00:00Z,0.0,53.375,-131.625,17.1,3.54
2022-08-22T12:00:00Z,0.0,53.375,-131.375,16.21,2.66
2022-08-22T12:00:00Z,0.0,53.375,-131.125,15.17,1.64
2022-08-22T12:00:00Z,0.0,53.375,-130.875,14.21,0.69
2022-08-22T12:00:00Z,0.0,53.375,-130.625,13.35,-0.17
2022-08-22T12:00:00Z,0.0,53.375,-130.375,12.62,-0.89
2022-08-22T12:00:00Z,0.0,53.375,-130.125,12.48,-1.02
2022-08-22T12:00:00Z,0.0,53.375,-129.875,NaN,NaN
2022-08-22T12:00:00Z,0.0,53.375,-129.625,NaN,NaN
